City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
435,Bongor,TD,75.25,light rain,10.28,15.37,Oryx Palace
443,Kuliyapitiya,LK,80.28,light rain,7.47,80.04,Rest House
445,Neijiang,CN,77.67,clear sky,29.58,105.06,Han'an Hotel
447,Kuching,MY,75.42,few clouds,1.55,110.33,Hilton Kuching
452,Ponca City,US,87.62,clear sky,36.71,-97.09,"Holiday Inn Express & Suites Ponca City, an IHG Hotel"
456,Katsuura,JP,82.18,scattered clouds,35.13,140.3,Katsuura Hotel Mikazuki
458,Fairbanks,US,83.01,clear sky,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
459,Staunton,US,82.94,scattered clouds,38.15,-79.07,Hotel 24 South
462,Les Cayes,HT,82.99,broken clouds,18.2,-73.75,Villa Orphee
465,Magaria,NE,78.03,scattered clouds,13.0,8.91,Chez Honorable Chapiou
466,Eirunepe,BR,84.65,few clouds,-6.66,-69.87,Pousada Novo Acre
468,Waddan,LY,86.81,clear sky,29.16,16.14,محل الشريف محمد العايب
473,Nankana Sahib,PK,80.85,light rain,31.45,73.7,Food Point
476,Maumere,ID,78.93,broken clouds,-8.62,122.21,Sylvia Hotel
480,North Bend,US,76.24,clear sky,43.41,-124.22,Red Lion Hotel Coos Bay
481,Brokopondo,SR,78.78,light rain,4.75,-55.17,Matu Island
482,Labuan,MY,80.96,few clouds,5.28,115.24,Tiara Labuan Hotel
483,Gat,IL,85.41,clear sky,31.61,34.76,OlusHome
484,Umm Lajj,SA,89.11,clear sky,25.02,37.27,Moon light Furnished Units
486,Black River,JM,88.99,light rain,18.03,-77.85,Idlers' Rest Beach Hotel
487,La Ronge,CA,86.25,smoke,55.1,-105.28,Northland Motor Hotel
491,Semporna,MY,75.4,heavy intensity rain,4.48,118.61,"Han Palace Hotel, Semporna, Sabah."
493,Myrtle Beach,US,88.09,clear sky,33.69,-78.89,Bay View Resort Myrtle Beach
496,Hambantota,LK,79.14,clear sky,6.12,81.12,Bungalow 63
503,Salalah,OM,78.89,overcast clouds,17.02,54.09,HAMDAN PLAZA HOTEL SALALAH
510,San Fernando,PH,82.96,light rain,15.03,120.69,Maharlika Hostel
512,Chester,US,80.83,few clouds,40.13,-75.87,"Holiday Inn Morgantown - Reading Area, an IHG Hotel"
516,Nusaybin,TR,88.11,clear sky,37.08,41.22,Aydinlar Hotel
519,Korla,CN,76.98,overcast clouds,41.76,86.15,Gulisitan Hotel
521,Juegang,CN,81.99,light rain,32.32,121.19,Rudong Y Hotel
528,Filadelfia,US,83.32,scattered clouds,39.95,-75.16,Loews Philadelphia Hotel
531,Sterling,US,84.0,few clouds,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
532,Xinye,CN,75.0,clear sky,32.52,112.35,Lijing International Hotel
535,Mutis,CO,80.96,light rain,6.23,-77.4,Paraiso Escondido
538,Alta Floresta,BR,87.6,broken clouds,-9.88,-56.09,Floresta Amazonica Hotel
541,North Branch,US,85.48,broken clouds,45.51,-92.98,AmericInn by Wyndham North Branch
543,Jalu,LY,88.75,clear sky,29.03,21.55,صاحبة الفخامة
545,Buala,SB,79.48,light rain,-8.14,159.59,Maringe Lagoon Lodge
546,Ciudad Bolivar,VE,76.55,overcast clouds,8.12,-63.55,Hotel Edi
548,Bonthe,SL,76.21,scattered clouds,7.53,-12.51,Bonthe Holiday Village
550,Ishigaki,JP,78.93,broken clouds,24.34,124.16,Hotel Peace Land Ishigakijima
552,Nantucket,US,78.94,clear sky,41.28,-70.1,Jared Coffin House
553,Garowe,SO,80.64,overcast clouds,8.41,48.48,Curubo Hotel
555,Abu Zabad,SD,76.19,overcast clouds,12.35,29.25,حامد محمد نور
557,Hurghada,EG,86.04,clear sky,27.26,33.81,Sea Star Beau Rivage Hotel
560,Takoradi,GH,76.84,scattered clouds,4.88,-1.76,Raybow International Hotel
564,Kolda,SN,77.31,scattered clouds,12.88,-14.95,Hôtel Hobbe Chasse
565,Nasriganj,IN,80.24,overcast clouds,25.05,84.33,Birendra Utsav Niketan
571,Meadow Lake,US,85.6,overcast clouds,34.8,-106.54,JKL Inc. R.V Park and Storage
574,Las Matas De Farfan,DO,81.03,overcast clouds,18.87,-71.52,Hotel Mané
576,Padang,ID,75.25,overcast clouds,-0.95,100.35,Mercure Padang
579,Tagusao,PH,81.77,overcast clouds,9.19,117.81,Toledo
580,The Valley,AI,84.81,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
