City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Guerrero Negro,MX,2021-08-02 14:07:34,27.9769,-114.0611,71.51,78,0,5.35
68,Alenquer,BR,2021-08-02 14:07:34,-1.9417,-54.7383,84.54,57,1,3.96
69,Bambous Virieux,MU,2021-08-02 14:07:35,-20.3428,57.7575,70.21,60,0,5.79
70,Angoche,MZ,2021-08-02 14:07:35,-16.2325,39.9086,74.91,56,0,13.38
71,Martil,MA,2021-08-02 14:07:36,35.6166,-5.2752,77.07,43,20,7.61
72,Saskylakh,RU,2021-08-02 14:07:36,71.9167,114.0833,68.29,57,60,7.11
73,Cururupu,BR,2021-08-02 14:07:09,-1.8283,-44.8683,87.13,48,88,6.55
74,Port Hardy,CA,2021-08-02 14:07:37,50.6996,-127.4199,55.02,92,15,5.03
75,San Cristobal,VE,2021-08-02 14:07:37,7.7669,-72.225,75.38,84,100,6.76
76,Ayan,RU,2021-08-02 14:07:37,56.45,138.1667,53.71,92,100,10.74
77,Coquimbo,CL,2021-08-02 14:07:38,-29.9533,-71.3436,51.53,93,90,3.44
78,Luganville,VU,2021-08-02 14:07:38,-15.5333,167.1667,70.07,62,90,5.06
79,Alegrete,BR,2021-08-02 14:07:38,-29.7831,-55.7919,56.16,61,0,7.54
80,Iqaluit,CA,2021-08-02 14:07:39,63.7506,-68.5145,47.68,79,100,2.44
81,Irbeyskoye,RU,2021-08-02 14:07:39,55.6428,95.4522,63.5,74,45,3.11
82,Liwale,TZ,2021-08-02 14:07:40,-9.7667,37.9333,79.54,36,94,1.52
83,Sobolevo,RU,2021-08-02 14:07:40,54.4299,31.8996,77.43,59,100,22.1
84,Mar Del Plata,AR,2021-08-02 14:04:58,-38.0023,-57.5575,50.09,32,90,13.0
85,Am Timan,TD,2021-08-02 14:07:41,11.0297,20.2827,84.6,62,98,8.5
86,Meulaboh,ID,2021-08-02 14:07:17,4.1363,96.1285,78.96,77,100,5.35
87,Ewa Beach,US,2021-08-02 14:07:41,21.3156,-158.0072,78.75,68,90,5.75
88,Yaransk,RU,2021-08-02 14:07:42,57.3033,47.8861,84.94,42,83,6.11
89,Hithadhoo,MV,2021-08-02 14:07:42,-0.6,73.0833,81.25,75,87,4.97
90,Hoa Binh,VN,2021-08-02 14:03:01,20.8133,105.3383,87.69,94,100,4.0
91,Koson,UZ,2021-08-02 14:07:42,39.0375,65.585,98.92,11,16,11.61
92,Muravlenko,RU,2021-08-02 14:07:43,63.7898,74.523,64.92,55,100,9.13
93,Fortuna,US,2021-08-02 14:07:43,40.5982,-124.1573,55.42,75,90,0.0
94,Izhma,RU,2021-08-02 14:07:44,65.0083,53.9113,68.09,63,100,6.76
95,Mount Gambier,AU,2021-08-02 14:07:44,-37.8333,140.7667,44.44,91,99,5.03
96,Kaitangata,NZ,2021-08-02 14:07:44,-46.2817,169.8464,49.93,76,100,13.62
97,Margate,GB,2021-08-02 14:04:58,51.3813,1.3862,67.3,57,24,5.66
98,Waingapu,ID,2021-08-02 14:07:45,-9.6567,120.2641,76.26,85,41,7.78
99,Antofagasta,CL,2021-08-02 14:07:45,-23.65,-70.4,65.21,67,93,1.23
100,Lagoa,PT,2021-08-02 14:07:46,39.05,-27.9833,71.87,87,1,7.16
101,Lukulu,ZM,2021-08-02 14:07:46,-14.3707,23.242,83.48,17,19,5.7
102,Kinablangan,PH,2021-08-02 14:07:47,7.6947,126.5503,80.56,84,99,3.38
103,Longjiang,CN,2021-08-02 14:07:47,47.3303,123.1836,63.27,90,99,5.68
104,La Grande,US,2021-08-02 14:07:47,45.3246,-118.0877,71.2,59,93,1.54
105,Comodoro Rivadavia,AR,2021-08-02 14:07:48,-45.8667,-67.5,58.86,44,0,14.97
106,Butaritari,KI,2021-08-02 14:07:48,3.0707,172.7902,82.63,72,35,7.38
107,Wajir,KE,2021-08-02 14:07:48,1.7471,40.0573,88.93,30,30,19.1
108,Manbij,SY,2021-08-02 14:07:49,36.5281,37.9549,104.77,13,77,3.62
109,Port Macquarie,AU,2021-08-02 14:07:49,-31.4333,152.9167,58.96,89,99,11.05
110,Port Elizabeth,ZA,2021-08-02 14:04:28,-33.918,25.5701,59.09,77,100,13.29
111,Twentynine Palms,US,2021-08-02 14:07:50,34.1356,-116.0542,89.06,29,0,3.0
112,Beloha,MG,2021-08-02 14:07:50,-25.1667,45.05,70.41,54,0,13.11
113,Mataura,NZ,2021-08-02 14:07:50,-46.1927,168.8643,45.48,95,100,5.26
114,Henties Bay,NA,2021-08-02 14:07:51,-22.116,14.2845,72.86,40,0,9.31
115,Vaitape,PF,2021-08-02 14:07:51,-16.5167,-151.75,78.57,71,87,14.45
116,Vestmannaeyjar,IS,2021-08-02 14:07:52,63.4427,-20.2734,53.64,75,100,6.64
117,Labuhan,ID,2021-08-02 14:07:52,-6.8844,112.2051,79.09,78,25,7.36
118,Victoria,HK,2021-08-02 14:05:03,22.2855,114.1577,86.32,87,99,1.99
119,Aklavik,CA,2021-08-02 14:07:52,68.2191,-135.0107,59.0,94,75,4.61
120,Meadow Lake,US,2021-08-02 14:07:53,34.8014,-106.5436,68.7,63,99,5.3
121,Rzhev,RU,2021-08-02 14:07:53,56.2624,34.3282,79.12,67,88,15.93
122,Makakilo City,US,2021-08-02 14:07:54,21.3469,-158.0858,77.32,69,90,5.75
123,Narsaq,GL,2021-08-02 14:07:54,60.9167,-46.05,52.02,92,100,2.3
124,Caravelas,BR,2021-08-02 14:04:00,-17.7125,-39.2481,69.15,78,100,6.64
125,Lebu,CL,2021-08-02 14:07:55,-37.6167,-73.65,52.5,80,62,20.11
126,Kapaa,US,2021-08-02 14:07:55,22.0752,-159.319,79.12,75,40,5.01
127,Arraial Do Cabo,BR,2021-08-02 14:07:56,-22.9661,-42.0278,71.46,64,20,19.57
128,Provideniya,RU,2021-08-02 14:07:56,64.3833,-173.3,43.83,95,100,16.46
129,Mahebourg,MU,2021-08-02 14:07:57,-20.4081,57.7,70.25,60,1,5.99
130,Kashi,CN,2021-08-02 14:07:57,39.4547,75.9797,67.26,42,6,3.78
131,Nerchinskiy Zavod,RU,2021-08-02 14:07:57,51.3088,119.61,59.72,90,20,4.03
132,Sola,VU,2021-08-02 14:07:58,-13.8833,167.55,74.46,62,92,14.16
133,Port Augusta,AU,2021-08-02 14:07:58,-32.5,137.7667,48.34,81,3,9.6
