City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
343,Wewak,PG,-3.55,143.63,79.18,87,64,8.57,broken clouds
344,Kanbe,MM,16.71,96.00,77.05,90,100,5.23,overcast clouds
345,Terrace Bay,CA,48.78,-87.10,65.82,71,63,13.27,broken clouds
346,Quang Ngai,VN,15.12,108.80,80.2,75,100,4.61,overcast clouds
347,Guaranesia,BR,-21.30,-46.80,67.17,48,80,2.68,broken clouds
348,Mariinsk,RU,56.21,87.75,56.73,98,61,3.91,broken clouds
349,La Rochelle,FR,46.17,-1.15,64.47,77,90,9.22,overcast clouds
350,Abalak,RU,58.13,68.59,60.98,74,97,4.83,overcast clouds
351,Carnarvon,AU,-24.87,113.63,46.47,47,0,11.5,clear sky
352,Jatiroto,ID,-7.88,111.12,71.71,95,48,4.92,scattered clouds
353,Manaus,BR,-3.10,-60.02,82.9,74,20,4.61,few clouds
354,Ekhabi,RU,53.51,142.97,54.93,87,100,11.12,overcast clouds
355,Berlevag,NO,70.86,29.09,48.15,76,0,0.0,clear sky
356,Windhoek,NA,-22.56,17.08,57.4,33,0,4.61,clear sky
357,Clara,IE,53.34,-7.61,56.52,98,88,3.87,overcast clouds
358,Gorontalo,ID,0.54,123.06,74.5,93,68,1.74,broken clouds
359,Ahipara,NZ,-35.17,173.17,54.55,83,11,28.77,few clouds
360,Lokomotivnyy,RU,53.01,60.57,65.71,60,31,2.59,scattered clouds
361,Novomichurinsk,RU,54.04,39.75,65.12,86,43,11.27,scattered clouds
362,Uribia,CO,11.71,-72.27,91.94,45,73,9.22,broken clouds
363,Alexandria,EG,31.22,29.96,79.34,78,0,5.75,clear sky
364,Mirabad,AF,30.44,61.84,87.91,11,0,21.74,clear sky
365,Dalby,AU,-27.18,151.27,60.98,93,99,1.01,overcast clouds
366,Komagane,JP,35.73,137.94,76.37,86,98,1.99,overcast clouds
367,Storsteinnes,NO,69.24,19.23,46.4,92,100,2.44,overcast clouds
368,Kharp,RU,66.80,65.81,51.33,84,96,6.71,overcast clouds
369,Birin,NP,26.89,88.07,63.86,90,100,3.22,overcast clouds
370,Belaya Gora,RU,68.53,146.42,51.24,45,6,9.04,clear sky
371,Yar-Sale,RU,66.83,70.83,54.9,94,100,5.48,overcast clouds
372,Votice,CZ,49.64,14.64,57.61,84,9,4.14,clear sky
373,Poroshkovo,UA,48.67,22.75,62.46,95,12,4.7,few clouds
374,Krasnogorsk,RU,55.82,37.32,70.18,88,75,8.95,broken clouds
375,Do Gonbadan,IR,30.36,50.80,86.09,23,0,0.0,clear sky
376,Absam,AT,47.30,11.50,57.49,94,75,2.3,broken clouds
377,Antalaha,MG,-14.90,50.28,65.43,90,5,5.55,clear sky
378,Provideniya,RU,64.38,-173.30,51.91,82,90,13.42,moderate rain
379,Axim,GH,4.87,-2.24,76.82,87,61,6.31,broken clouds
380,Pasni,PK,25.26,63.47,80.92,85,76,12.12,broken clouds
381,Byron Bay,AU,-28.65,153.62,64.35,90,94,9.24,overcast clouds
382,Taltal,CL,-25.40,-70.48,60.03,75,23,2.53,few clouds
383,Bathsheba,BB,13.22,-59.52,84.81,74,20,9.22,few clouds
384,Mnogovershinnyy,RU,53.94,139.92,50.43,98,100,5.32,overcast clouds
385,Balikpapan,ID,-1.27,116.83,76.23,89,100,7.09,overcast clouds
386,Karcsa,HU,48.31,21.81,64.71,69,9,5.03,clear sky
387,Manado,ID,1.49,124.85,75.97,94,20,2.3,few clouds
388,Margate,GB,51.38,1.39,62.04,73,100,1.01,overcast clouds
389,Boyuibe,BO,-20.42,-63.28,62.44,34,100,4.65,overcast clouds
390,Pita,GN,10.83,-12.58,71.51,98,79,1.14,broken clouds
391,Jiangdu,CN,32.43,119.56,78.89,96,4,6.06,light rain
392,Lagdo,CM,9.05,13.73,75.24,81,61,4.05,broken clouds
393,Kendari,ID,-3.94,122.50,72.91,92,30,3.13,scattered clouds
394,Chicama,PE,-7.84,-79.15,66.74,65,2,8.9,clear sky
395,Sherman,US,33.64,-96.61,89.69,56,40,13.8,scattered clouds
396,Half Moon Bay,US,37.46,-122.43,91.24,58,20,9.22,few clouds
397,Tukrah,LY,32.53,20.58,82.89,62,0,9.44,clear sky
398,Bilma,NE,18.69,12.92,95.94,13,14,11.39,few clouds
399,San Angelo,US,31.46,-100.44,88.65,51,1,5.01,clear sky
400,Lima,PE,-12.04,-77.03,63.14,72,75,6.91,broken clouds
401,Luderitz,NA,-26.65,15.16,66.81,37,0,1.83,clear sky
402,Sinnamary,GF,5.38,-52.95,78.49,84,55,8.19,broken clouds
403,Salinopolis,BR,-0.61,-47.36,78.94,76,71,8.28,broken clouds
404,Kalaleh,IR,37.38,55.49,76.6,83,0,0.0,clear sky
405,Ust-Omchug,RU,61.15,149.63,44.11,57,9,8.97,clear sky
406,Broome,US,42.25,-75.83,74.01,50,1,5.01,clear sky
407,Ilulissat,GL,69.22,-51.10,60.82,39,75,9.22,broken clouds
408,Zyryanka,RU,65.75,150.85,48.4,56,68,7.02,broken clouds
409,Gladstone,AU,-23.85,151.25,61.79,94,75,5.75,broken clouds
410,Redmond,US,47.67,-122.12,92.98,50,0,1.99,clear sky
411,Ponta Do Sol,PT,32.67,-17.10,73.0,76,8,6.96,clear sky
412,Reconquista,AR,-29.15,-59.65,56.16,43,0,6.64,clear sky
413,Shieli,KZ,44.17,66.75,84.31,25,36,8.63,scattered clouds
414,Praya,CV,14.92,-23.51,79.34,78,75,9.22,broken clouds
415,Atasu,KZ,48.68,71.64,73.11,40,9,8.68,clear sky
416,Namibe,AO,-15.20,12.15,69.1,82,85,2.19,overcast clouds
417,Harper,LR,4.38,-7.72,75.88,77,12,6.11,few clouds
418,Caravelas,BR,-17.71,-39.25,67.3,72,76,5.39,broken clouds
419,Kenora,CA,49.82,-94.43,81.79,38,1,11.5,smoke
420,Kisangani,CD,0.52,25.20,70.18,83,66,2.51,broken clouds
421,Nizhniy Kuranakh,RU,58.84,125.49,56.53,90,99,3.58,overcast clouds
422,Grand-Santi,GF,4.25,-54.38,75.13,92,91,2.35,overcast clouds
423,Santa Lucia,ES,27.91,-15.54,65.77,73,20,24.16,few clouds
424,Hamilton,US,39.18,-84.53,79.02,51,40,5.01,scattered clouds
425,Indramayu,ID,-6.33,108.32,77.16,77,48,7.18,scattered clouds
426,Rorvik,NO,64.86,11.24,52.16,71,97,10.87,overcast clouds
427,Mezen,RU,65.85,44.24,55.49,97,52,4.99,broken clouds
428,Havelock,US,34.88,-76.90,83.93,89,90,4.0,overcast clouds
429,Vanimo,PG,-2.67,141.30,78.66,86,97,5.82,overcast clouds
430,Batagay-Alyta,RU,67.80,130.41,63.88,33,0,2.51,clear sky
431,Can Tho,VN,10.03,105.78,78.39,86,100,9.31,overcast clouds
432,Mangla,PK,31.89,72.38,94.78,49,52,5.88,broken clouds
433,Podares,MK,41.61,22.54,79.03,26,0,3.71,clear sky
434,Tuskegee,US,32.42,-85.69,83.46,71,78,5.91,heavy intensity rain
435,Bongor,TD,10.28,15.37,75.25,83,85,4.29,light rain
436,Rantepao,ID,-2.97,119.90,66.38,99,80,0.87,light rain
437,Beringovskiy,RU,63.05,179.32,44.64,96,100,8.97,light rain
438,Pechenga,RU,69.53,31.17,49.06,95,29,2.35,scattered clouds
439,Chapais,CA,49.78,-74.85,64.18,60,100,10.31,overcast clouds
440,Natalio,PY,-26.72,-55.08,54.61,57,0,2.91,clear sky
441,Geraldton,AU,-28.77,114.60,43.21,93,3,10.36,clear sky
442,Kamenka,RU,51.32,42.77,75.56,42,30,2.39,scattered clouds
443,Kuliyapitiya,LK,7.47,80.04,80.28,91,100,6.44,light rain
444,Borgarnes,IS,64.54,-21.92,55.81,91,99,1.3,overcast clouds
445,Neijiang,CN,29.58,105.06,77.67,84,0,1.39,clear sky
446,Belmonte,BR,-15.86,-38.88,70.3,74,64,9.08,broken clouds
447,Kuching,MY,1.55,110.33,75.42,100,20,2.3,few clouds
448,Uzice,RS,43.86,19.85,65.95,94,0,0.0,clear sky
449,Vestmanna,FO,62.16,-7.17,49.12,93,90,6.91,overcast clouds
450,Chatellerault,FR,46.80,0.53,63.32,86,67,7.94,broken clouds
451,Kangaatsiaq,GL,68.31,-53.46,42.62,92,15,15.9,few clouds
452,Ponca City,US,36.71,-97.09,87.62,40,1,11.5,clear sky
453,Isangel,VU,-19.55,169.27,66.31,88,20,0.0,few clouds
454,El Alto,PE,-4.27,-81.21,69.46,75,21,19.39,few clouds
